date	hour	type	Fengtai	Chaoyang	Xicheng	Dongcheng	Shijingshan	Haidian
20150513	0	AQI	59	87	76	78	67	82
20150513	1	AQI	62	93	80	80	69	89
20150513	2	AQI	65	98	84	80	71	96
20150513	3	AQI	69	103	86	80	73	103
20150513	4	AQI	75	111	87	78	73	108
20150513	5	AQI	80	113	88	76	75	106
20150513	6	AQI	83	125	87	74	74	105
20150513	7	AQI	86	135	85	71	72	104
20150513	8	AQI	88	149	81	69	70	102
20150513	9	AQI	86	73	78	68	68	101
20150513	10	AQI	85	72	76	64	66	97
20150513	11	AQI	87	71	73	61	63	95
20150513	12	AQI	90	70	71	58	61	93
20150513	13	AQI	89	70	69	57	58	91
20150513	14	AQI	88	68	68	56	56	90
20150513	15	AQI	86	67	67	56	57	89
20150513	16	AQI	84	67	66	56	57	87
20150513	17	AQI	83	66	66	56	57	87
20150513	18	AQI	82	66	66	55	57	87
20150513	19	AQI	81	67	66	54	56	86
20150513	20	AQI	79	67	65	53	55	84
20150513	21	AQI	76	66	64	52	55	83
20150513	22	AQI	74	66	63	51	55	80
20150513	23	AQI	73	64	63	51	54	78
